speaker,words,tags,timestamp
Helen,"No, never. In fact, a couple in our development, they were the first people we met and, um, they're a, um, mixed couple. And he is wonderful, and just wonderful people. And I don't say that I don't -- to me anyway, skin color and that type of thing, that doesn't matter. I mean, it's, it's what comes out of your mouth and who you are that is important to me. I don't care what you look like or what you do when you walk in your house and the door shut. That's not my problem. But when you're kind and friendly out front, that's, that's what I love.",,[35:35]
Maria,"And so, it sounds like you've got a, another home where you feel a strong sense of community and closeness in the family and, and beyond the family.",,[36:23]
Helen,"Yes, yeah.",,[36:37]
Maria,"Do you feel like since you arrived in 2007, and now it's 2022, um, do you feel like you've seen changes in Centre County, for, for better or for worse or just neutral? You know, in what, in what ways do you see the county changing over time?",memory,[36:39]
Helen,"Well, of course, the growth. Before even, I mean, Bellefonte, especially. Um, you -. When we first came, you could ride to Bellefonte and you might see -- at night, I'm talking about after 7 -- you might see five or six cars, or past five or six cars. But now, there's traffic all the time. You can see there's a lot more people, a lot more cars parked along the streets in Bellefonte at night, um. And I think that's good, because it's, it's a variety, um. And of course, also with that does come some outside problems. But I always feel if you just live your life, no, especially at my age, you're not running the streets at, at 8:00 at night at our age, you know. We're one of those that eats at 4:30, 5:00 and then we're done for the night, but. So if we go out to dinner, it's, you know, early. But, uh. And when we do stuff at church, or our meetings, some-, and where our church is, it can be lonely walking that street by yourself to your car, because our parking lot is pretty far from the church. And, um, you try to go with, you walk together so you just feel a little more safer. Because, um, yeah, there is more trouble down that end of town than there used to be when they first came. But that's growth.",,[36:56]
Maria,Right.,,[38:42]
Helen,That's how life is. And you just have to learn to live with it and be aware of it.,,[38:43]
Maria,"Right. And stay safe as you said, right?",,[38:50]
Helen,Yes.,,[38:56]
Maria,"Helen, so now that you've been in Bellefonte for a while, um, and you know, after leaving, it sounds like in your childhood, you're sort of, you know with, living with your mom and your dad and your siblings, and in that particular community, there were maybe more sort of direct connections with that Italian heritage. Do you today feel like what to you now are the most important aspects of your Italian heritage, if it is important to you?",heritage,[38:56]
Helen,"It's really not -- my phone, I was going to shut that and I forgot.",,[39:30]
Maria,That's okay.,,[39:36]
Helen,"Um, because I have so many non-Italian friends, I mean, the school that we went to, we went to Conestoga High School which is in Berwyn, Pennsylvania, and that was probably when we went half, half Italian because it covered a big area. And then when you grow up and you see the world, um, nationality is not important to me or Lonnie, it has, it never been. And we, we just, um, I don't know, I think I'm, I'm happy that I've had the experience to grow up the way I did to learn that. But I don't know anyone that speaks Italian. You know, I mean, that's just, none of my cousins, none of my nieces we're, we're Italian, but we're American Italians. So, we all speak English. And- . We're just happy here. We like living here. And our company, any company that comes, um, they just love it. They think it's a wonderful area.",language,[39:36]
Maria,"Great, great. Helen, thank you so much. I guess my last question would just be is there anything that my questions didn't bring out that's really important to you about, you know, living in Centre County? You know, your life here and, and what's important to you.",,[41:02]
Helen,"No, I think just, I think you feel safe. Now, when we go down to the King of Prussia-Malvern area anymore, we can feel the stress on our bodies as we go down. Because here, I mean, everything has been built down there. There's, there's no farms and all that, which is slowly happening here also in some parts. But hopefully, my husband and I won't live to see it change that much. And so you still feel comfortable here, I think. Uh, and if you want to get in the car and go for a ride in the country, it's right there. You don't have to go 20 miles, 30 miles to get to it. Um, we just think it's, it's a great community to raise kids and to just be part of.",,[41:24]
Maria,"Right, right, right.",,[42:21]
Helen,"Yeah, we like it.",,[42:21]
Maria,"Wonderful. Well, thank you so much, Helen. I really enjoyed talking with you.",,[42:23]
Helen,"I hope I was able to give you some stuff that was important or in-, interesting.",,[42:27]
Maria,"Oh, really interesting. Thank you so much. So I'm going to stop our recording now. And just, yeah, say thank you to Mrs. Helen Lowry. So we will--",,[42:34]
Helen,"Thank you, Maria.",,[42:45]
